,id,number_of_rooms,address,square_m2,renovation_type,balcony,window,child_pets_allow,floor,floors,rent_price,deposit,loggia,сombined_bath,separate_bath,passenger_lift,cargo_lift,district,travel_by_feet,Ванна,Душевая кабина,Интернет,Кондиционер,Мебель в комнатах,Мебель на кухне,Посудомоечная машина,Стиральная машина,Телевизор,Телефон,Холодильник
0,271271157,4,331489.36,200,183167.15,0,75129.65,107075.94,5,16,500000,500000,0,1,0,4,1,229671.96,9.0,1,1,1,1,1,1,1,1,1,1,1
1,271634126,4,331489.36,198,183167.15,0,153970.84,79069.82,5,16,500000,500000,0,2,1,1,1,229671.96,8.0,1,1,1,1,1,1,1,1,1,0,1
2,271173086,4,331489.36,200,91161.62,0,153970.84,79069.82,5,16,500000,500000,0,3,0,1,0,229671.96,7.0,1,1,1,1,1,1,1,1,1,1,1
3,272197456,4,397500.0,170,91161.62,0,153970.84,89533.8,5,6,400000,400000,0,3,0,1,0,229671.96,3.0,1,1,1,1,1,1,1,1,1,1,1
4,273614615,2,331489.36,58,91161.62,0,153970.84,79069.82,12,26,225000,225000,0,2,0,1,1,229671.96,7.0,1,1,1,0,1,1,1,1,1,0,1
5,274837728,3,431562.5,92,183167.15,0,75129.65,79069.82,3,7,470000,470000,0,1,0,1,1,229671.96,5.0,1,1,0,1,1,1,1,1,1,0,1
6,273643908,5,523333.33,213,91161.62,0,153970.84,107075.94,4,5,350000,350000,0,2,0,1,0,229671.96,4.0,1,0,1,0,1,1,1,1,1,1,1
7,274475342,3,254347.83,98,91161.62,0,75129.65,107075.94,2,4,250000,250000,0,1,1,1,0,229671.96,3.0,1,1,1,1,1,1,1,1,0,0,1
8,273973191,3,206500.0,120,91161.62,0,90392.27,89533.8,5,10,130000,130000,0,1,0,1,0,229671.96,9.0,1,0,1,1,0,1,1,1,1,0,1
9,272900409,4,254347.83,90,91161.62,1,153970.84,79069.82,2,7,210000,210000,0,1,1,1,0,229671.96,10.0,1,0,1,1,1,1,1,1,1,0,1
10,271036964,4,290000.0,170,91161.62,0,153970.84,79069.82,6,7,290000,290000,0,3,0,1,0,229671.96,5.0,1,1,1,1,1,1,1,1,1,1,1
11,273999490,3,206500.0,80,91161.62,3,153970.84,79069.82,4,8,100000,110000,0,1,0,1,0,229671.96,2.0,0,1,1,1,1,1,0,1,1,0,1
12,274017037,3,368333.33,100,183167.15,0,75129.65,107075.94,2,4,200000,200000,0,2,0,1,0,229671.96,8.0,1,1,1,1,1,1,1,1,1,1,1
13,273231024,5,433333.33,180,183167.15,0,90392.27,107075.94,6,8,500000,500000,1,2,1,3,0,229671.96,9.0,1,1,1,1,1,1,1,1,1,1,1
14,274839211,5,441333.33,222,91161.62,1,75129.65,79069.82,5,9,450000,450000,0,2,0,1,0,229671.96,5.0,0,0,1,0,1,1,1,1,1,0,1
15,274767901,5,441333.33,225,183167.15,0,75129.65,79069.82,5,9,450000,450000,0,1,0,4,0,229671.96,6.0,1,0,1,0,1,1,0,1,1,0,1
16,274995950,2,331489.36,30,91161.62,0,90392.27,107075.94,19,26,120000,120000,0,1,0,1,1,229671.96,10.0,1,1,1,1,1,1,1,1,1,1,1
17,274945807,5,441333.33,222,183167.15,1,75129.65,107075.94,5,9,450000,450000,0,1,0,1,1,229671.96,5.0,1,1,1,1,1,1,1,1,1,0,1
18,272911145,5,257500.0,150,91161.62,1,75129.65,79069.82,4,7,180000,180000,0,2,0,1,0,83912.80099545799,12.0,0,0,1,0,1,1,1,1,1,1,1
19,274748017,5,441333.33,201,91161.62,0,153970.84,107075.94,3,3,190000,190000,0,3,0,1,0,229671.96,6.0,1,1,1,1,0,1,1,1,1,1,1
20,273941734,2,331489.36,64,91161.62,0,90392.27,107075.94,12,26,205000,205000,0,2,0,1,1,229671.96,9.0,0,1,1,1,1,1,1,1,1,0,1
21,274493570,3,245454.55,112,91161.62,1,153970.84,79069.82,2,7,230000,230000,0,2,0,1,0,229671.96,5.0,1,0,1,1,1,1,1,1,1,1,1
22,274849101,4,592000.0,190,183167.15,0,75129.65,79069.82,4,5,590000,590000,0,1,0,0,0,229671.96,5.0,1,1,0,0,1,1,1,1,1,0,1
23,223918678,5,441333.33,255,91161.62,0,75129.65,107075.94,8,9,850000,850000,0,2,1,1,1,229671.96,8.0,1,1,1,1,1,1,1,1,1,1,1
24,274391259,5,441333.33,186,91161.62,0,153970.84,107075.94,3,3,190000,190000,0,2,0,0,0,229671.96,5.0,1,1,1,1,1,1,1,1,1,0,1
25,272945376,3,220555.56,100,91161.62,0,153970.84,107075.94,3,8,200000,200000,0,2,0,1,0,229671.96,5.0,1,1,1,1,1,1,1,1,1,1,1
26,272612966,5,257500.0,150,91161.62,1,75129.65,79069.82,4,7,200000,200000,0,2,0,1,0,229671.96,11.0,0,1,1,1,1,1,1,1,1,0,1
27,271568490,5,397500.0,140,183167.15,0,90392.27,79069.82,2,7,300000,300000,0,1,0,1,0,229671.96,7.0,0,0,1,0,1,1,1,1,1,0,1
28,264664760,3,331489.36,132,91161.62,0,75129.65,107075.94,5,13,400000,400000,0,2,0,1,1,229671.96,15.0,1,1,1,1,1,1,1,1,1,1,1
29,228923308,5,441333.33,256,183167.15,0,153970.84,107075.94,8,10,750000,750000,0,2,2,1,1,229671.96,10.0,1,1,1,1,1,1,1,1,1,0,1
30,267489303,6,523333.33,380,58870.13,0,153970.84,107075.94,3,6,870000,870000,0,2,1,1,0,229671.96,5.0,1,1,1,1,0,1,1,1,1,0,1
31,273353104,3,331489.36,112,58870.13,0,75129.65,79069.82,3,13,350000,350000,0,0,2,1,1,229671.96,7.0,1,1,1,0,1,1,1,1,1,1,1
32,273353103,2,331489.36,91,58870.13,0,75129.65,79069.82,10,13,400000,400000,0,0,2,1,1,229671.96,7.0,1,1,1,0,1,1,1,1,1,1,1
33,268321690,3,331489.36,135,183167.15,0,153970.84,107075.94,5,13,400000,400000,0,1,1,2,1,229671.96,11.0,0,0,0,0,1,1,0,1,1,0,1
34,269496185,4,592000.0,190,183167.15,0,153970.84,79069.82,4,5,590000,590000,0,2,0,1,1,229671.96,3.0,1,1,1,1,1,1,1,1,1,0,1
35,272188531,2,331489.36,44,58870.13,0,75129.65,79069.82,21,26,135000,135000,0,0,1,1,1,229671.96,15.0,1,1,1,0,1,1,1,1,1,1,1
36,272727784,3,254347.83,85,91161.62,1,75129.65,107075.94,7,7,150000,150000,0,1,0,1,1,229671.96,14.699463513724673,1,1,1,1,1,1,1,1,1,1,1
37,267110043,2,431562.5,100,58870.13,1,90392.27,79069.82,5,7,320000,320000,0,0,2,1,1,229671.96,7.0,1,1,1,0,1,1,1,1,1,1,1
38,265323319,3,331489.36,133,58870.13,0,75129.65,79069.82,5,13,400000,400000,0,0,2,1,1,229671.96,7.0,1,1,1,0,1,1,1,1,1,1,1
39,265804792,4,397500.0,210,58870.13,1,153970.84,89533.8,3,5,400000,400000,0,0,3,0,0,229671.96,7.0,1,1,1,0,1,1,1,1,1,1,1
40,239000408,4,390000.0,180,58870.13,0,75129.65,107075.94,4,4,450000,450000,0,0,2,0,0,229671.96,9.0,1,1,1,0,1,1,1,1,1,1,1
41,271209314,4,331489.36,165,58870.13,0,75129.65,89533.8,9,16,470000,470000,0,0,2,1,1,229671.96,5.0,1,1,1,0,1,1,1,1,1,1,1
42,269889430,4,592000.0,190,58870.13,0,75129.65,89533.8,4,6,590000,590000,0,0,2,1,1,229671.96,6.0,1,1,1,0,1,1,1,1,1,1,1
43,241704098,4,331489.36,168,58870.13,0,75129.65,79069.82,4,16,600000,600000,0,0,2,1,1,229671.96,5.0,1,1,1,0,1,1,1,1,1,1,1
44,239000331,5,441333.33,250,58870.13,0,75129.65,89533.8,8,9,850000,850000,0,0,3,1,1,229671.96,8.0,1,1,1,0,1,1,1,1,1,1,1
45,272823500,3,254347.83,85,91161.62,1,75129.65,79069.82,7,7,150000,150000,0,1,0,1,0,229671.96,7.0,0,0,1,0,1,1,1,1,1,1,1
46,274402813,3,258750.0,105,91161.62,0,153970.84,107075.94,6,17,195000,195000,0,3,0,1,1,229671.96,5.0,0,0,0,0,1,1,0,1,1,1,1
47,270190788,3,258750.0,134,91161.62,1,75129.65,107075.94,8,16,300000,300000,0,0,2,1,0,229671.96,5.0,0,0,1,0,1,1,1,1,1,1,1
